GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,United States,11521938,12038283,12610491,13130987,13262079,13493064,13879129,14406382,14912509,15338257,15626029,15604687,15208834,15598753,15840664,16197007,16495369,16912038,17432170,17730509,18144105,18687786,19091662,18426076
1000,Alabama,144457.3,149613.2,155171.9,157697.7,157137.9,161258,165250.5,175916.8,181871,185337,186499.4,185280.6,178893.4,183014.5,185666.9,186553.9,188814.2,187568,189428.8,191523.4,193693,198053.7,200829.4,195474.7
2000,Alaska,42339.2,41238.4,40788.2,39566.8,41019.8,42915.8,42132.7,43752.3,45064.7,48538.5,51144,50891,55910.6,54219,54722.6,57717.5,54748.1,53480.6,54015.3,53289,52825.9,52928.7,53255.2,50645.5
4000,Arizona,168372.2,182983.5,198002.1,207774.8,212648.3,219370.4,233339.1,243192.6,263047.3,277189,284811.7,277357.6,254906.9,257396.9,263144.1,268068.2,269967.4,274112.9,281935.6,291259.6,302117.8,314016.1,323597.6,320658.3
5000,Arkansas,82760.4,84791.3,89339.5,90224.2,90081,92989.3,96714.2,101194.5,104758.6,107084.1,106272.5,105923.2,102513.5,105223.6,107320.6,107718.8,110301.4,111729.9,112938.9,113490.4,114950.7,116698.8,117447.1,114370.3
6000,California,1379722.1,1470543,1583231.3,1709490.6,1707064.7,1747199.5,1829296.5,1902550.4,1988736.5,2072274.1,2103014.8,2110596.1,2025633.2,2056990.4,2090836.8,2144089.6,2219610.5,2316331.2,2437366.9,2519133.6,2628314.6,2708966.9,2800505.4,2722838.6
8000,Colorado,184492.1,201034.9,216139.3,232832.1,236310.6,236869.2,238843.8,241224.7,251266.6,256152.2,264664.5,267964.9,262463.3,265319.3,268553.4,273593.9,282605.5,294812,308898.9,315793,328510.2,342865.6,356280.2,351067.8
9000,Connecticut,190667.7,196175.1,202264.4,216293.1,219932.4,219956.8,222125.2,236698.6,242380.3,251629.6,260993.1,259385,248612.1,247876.8,242323.3,244114.4,238621.4,237700.4,245304.5,245966.1,248077.1,249043.3,251329.8,241053
10000,Delaware,45802.8,50115.1,53942.2,56265.5,59013.7,56897.3,57916.4,60545.8,59821.9,61365.4,61229.4,58637.7,60847.4,60577,62501.4,61866.7,59496.1,64123.6,66527,62889,61851.1,63162.6,64319.3,61833.7
11000,District of Columbia,79690.1,81056.5,84547.6,85186.1,88443.8,91221,93137.5,97904.5,100009.4,100315.9,103031.1,106805.5,106376.4,109940.9,111929.5,112610,112811.4,114814.8,117011,119420.2,120210.9,122661.9,123929.3,122113.6
12000,Florida,560807.2,588868.1,614442.1,641249,658349.1,684994.9,714958.5,757581.2,806805,834434.5,835637.2,803607.1,759432.2,766653.9,763484.1,768722.9,784238.4,806029.4,842269.4,870963.2,901903.5,936580.3,963255.9,935674.3
